ITEM,FILENAME,COLLECTION,COLOR,FINISH,QUANTITY,EVENT TYPE
Ball Top Stanchion,Barricades - Ball Top Stanchion.png,-,-,"Gold, Chrome",-,"Corporate, Gala, Festival, Wedding, Concert, Social, Outdoor"
Belt Stanchion,Barricades - Belt Stanchion Black.png,-,Black,Black,-,"Corporate, Gala, Festival, Wedding, Concert, Social, Outdoor"
Belt Stanchion,Barricades - Belt Stanchion.png,-,-,Chrome,-,"Corporate, Gala, Festival, Wedding, Concert, Social, Outdoor"
Bike Rack,Barricades - Bike Rack.jpeg,-,-,-,-,"Festival, Concert, Social, Outdoor"
Fencing,Barricades - Fence.jpeg,-,Yellow,-,-,"Festival, Concert, Social, Outdoor"
Flat Top Stanchion,Barricades - Flat Top Stanchion.png,-,-,Chrome,-,"Corporate, Gala, Festival, Wedding, Concert, Social, Outdoor"
Mojo Barricade,Barricades - Mojo Barricade.jpeg,-,Black,-,-,"Festival, Concert, Social, Outdoor"
Picket Fence,Barricades - Picket Fence.jpeg,-,White,-,-,"Corporate, Gala, Festival, Wedding, Concert, Social, Outdoor"
Traffic Cones,Barricades - Traffic Cone.jpeg,-,"Orange, Yellow",-,-,"Festival, Concert, Outdoor"
Velvet Ropes,Barricades - Velvet Ropes.png,-,Various,-,-,"Corporate, Gala, Festival, Wedding, Concert, Social, Outdoor"
