ITEM,FILENAME,COLLECTION,COLOR,FINISH,QUANTITY,EVENT TYPE
ADA Stage Ramp,Staging - ADA Stage Access.png,-,-,-,-,"Corporate, Gala, Festival, Wedding, Social, Concert, Outdor"
Bleachers,Staging - Bleachers.jpeg,-,-,-,-,"Gala, Festival, Social, Concert, Outdor"
Mobile Stage - SL100,Staging - Mobile Stage SL100.webp,-,-,-,-,"Gala, Festival, Social, Concert, Outdor"
Mobile Stage - SL 260,Staging - Mobile Stage SL260.png,-,-,-,-,"Gala, Festival, Social, Concert, Outdor"
Stage Platforms,Staging - Platforms.png,-,-,-,-,"Corporate, Gala, Festival, Wedding, Social, Concert, Outdor"
Stage Risers,Staging - Risers.png,-,-,-,-,"Corporate, Gala, Festival, Wedding, Social, Concert, Outdor"
Stage Deck - 4x4,Staging - Stage Deck 4x4.webp,-,-,-,-,"Corporate, Gala, Festival, Wedding, Social, Concert, Outdor"
Stage Deck - 4x8,Staging - Stage Deck 4x8.webp,-,-,-,-,"Corporate, Gala, Festival, Wedding, Social, Concert, Outdor"
Stage Railing,Staging - Stage Railing.jpeg,-,-,-,-,"Corporate, Gala, Festival, Wedding, Social, Concert, Outdor"
Stage Skirt,Staging - Stage Skirt.jpeg,-,-,-,-,"Corporate, Gala, Festival, Wedding, Social, Concert, Outdor"
Stage Stairs,Staging - Stage Stairs.jpeg,-,-,-,-,"Corporate, Gala, Festival, Wedding, Social, Concert, Outdor"
Sub-Flooring,Staging - Sub-Floors.jpeg,-,-,-,-,"Gala, Festival, Social, Concert, Outdor"
