ITEM,FILENAME,COLLECTION,COLOR,FINISH,QUANTITY,EVENT TYPE
Banquet Chair,Chairs - Banquet_Black.jpeg,Banquet,Black,Black,,"Corporate, Gala, Wedding, Social, Concert"
Chiavari Chair Mahogany,Chairs - Chiavari_Mahogany.jpeg,Chiavari,White,Mahogany,,"Corporate, Gala, Wedding, Social, Concert"
Chiavari Chair Silver,Chairs - Chiavari_Silver.jpeg,Chiavari,White,Silver,,"Corporate, Gala, Wedding, Social, Concert"
Gravity Desk Chair,Chairs - Gravity_Black Desk.jpeg,Gravity,Black,Black,,Corporate
Hayworth Chair,Chairs - Hayworth_Gold_Stainless_Black_Velvet.jpeg,Hayworth,Black Velvet,Stainless ,,"Gala, Wedding Social"
Hayworth Chair,Chairs - Hayworth_Polished_Stainless_Ivory_Velvet 2.jpeg,Hayworth,Ivory Velvet,Stainless ,,"Gala, Wedding Social"
Hayworth Stool,Chairs - Hayworth_Stool_Polished_Gold_Ivory_Velvet.jpeg,Hayworth,Ivory Velvet,Gold,,"Gala, Wedding Social"
Hayworth Stool,Chairs - Hayworth_Stool_Polished_Stainless_Black_Velvet.jpeg,Hayworth,Black Velvet,Stainless,,"Gala, Wedding Social"
Mirage Chair,Chairs - Mirage_Chrome.jpeg,Mirage,Chrome,Chrome,,"Gala, Wedding Social, Concert, Outdoor"
Oneida Chair,Chairs - Oneida Bench Black.jpeg,Oneida,Black,Wrought Iron,,Outdoor
Phoenix Chair,Chairs - Phoenix_Clear.jpeg,Phoenix,Clear,Acrylic,,"Gala, Wedding, Social"
Phoenix Chair,Chairs - Phoenix_Gold.png,Phoenix,White,Gold,,"Gala, Wedding, Social"
Raven Wrought Iron Chair,Chairs - Raven Wrought Iron.jpeg,Raven,Black,Wrought Iron,,Outdoor
Folding Chair,Chairs - Resin Padded_Folding_Mahogany.jpeg,Resin,Black,Mahogany,,"Corporate, Gala, Wedding, Social, Concert"
Folding Chair,Chairs - Resin Padded_Folding_White.jpeg,Resin,White,White,,"Corporate, Gala, Wedding, Social, Concert"
Rio Wrought Iron Chair,Chairs - Rio Wrought Iron.jpeg,Rio,Black,Wrought Iron,,Outdoor
Titan Chair,Chairs - Titan White.jpeg,Titan,White,White,,"Corporate, Gala, Wedding, Social, Concert"
Vibe Stool,Chairs - Vibe Chrome_White.jpeg,Vibe,White,Chrome,,"Corporate, Gala, Wedding, Social, Concert"
