ITEM,FILENAME,COLLECTION,COLOR,FINISH,QUANTITY,EVENT TYPE
360 Photo Booth,MISC - 360 Photo Booth.png,-,-,-,-,"Corporate, Gala, Wedding, Festival, Social, Concert, Outdoor"
Digital Photo Booth,MISC - Digital Photo Booth.jpeg,-,-,-,-,"Corporate, Gala, Wedding, Festival, Social, Concert, Outdoor"
Industrial Fans,MISC - Fans.jpeg,-,-,-,-,"Corporate, Gala, Wedding, Festival, Social, Concert, Outdoor"
Giant Pong,MISC - Giant Pong.jpeg,-,-,-,-,"Corporate, Gala, Wedding, Festival, Social, Concert, Outdoor"
Golf Cart,MISC - Golf Cart.jpeg,-,-,-,-,"Corporate, Gala, Wedding, Festival, Social, Concert, Outdoor"
LED DJ Booth,MISC - LED DJ.png,-,-,-,-,"Corporate, Gala, Wedding, Festival, Social, Concert, Outdoor"
Mirror Ball,MISC - Mirror Ball.jpeg,-,-,-,-,"Corporate, Gala, Wedding, Festival, Social, Concert, Outdoor"
Giant Mirror Disco Ball,MISC - Mirror Disco Ball 40.jpeg,-,-,-,-,"Corporate, Gala, Wedding, Festival, Social, Concert, Outdoor"
Patio Heater,MISC - Patio Heater.jpeg,-,-,-,-,"Corporate, Gala, Wedding, Festival, Social, Concert, Outdoor"
Popcorn Machine,MISC - Popcorn Machine.jpeg,-,-,-,-,"Corporate, Gala, Wedding, Festival, Social, Concert, Outdoor"
Truss Lectern,MISC - Truss Lectern.jpeg,-,-,-,-,"Corporate, Gala, Wedding, Festival, Social, Concert, Outdoor"
Umbrellas,MISC - Umbrellas.jpeg,-,-,-,-,"Corporate, Gala, Wedding, Festival, Social, Concert, Outdoor"
